Username,Text,Created At,Retweets,Likes,Country
Polling USA,"Presidential Polling:

Biden (D): 51%
Trump (R): 48%

Marist / Apr 18, 2024 / n=1047 https://t.co/JLNLf7FmBv",Mon Apr 22 16:38:50 +0000 2024,88,1286,United States
JoeyBonanno,"Does Donald Trump think real Americans are afraid of his violent talk?
I can assure that Trump won’t be President, it won’t be close ,President Biden wins PA, MI, GA, WI, NV, AZ, NC, ME, NH and Texas is probable",Mon Mar 18 13:04:35 +0000 2024,90,397,United States
Dr.Darrell Scott,"The 2024 Election is going to be decided by 5 states. Pennsylvania, Michigan, Wisconsin, North Carolina, and Georgia. The Black Vote will be the determining factor in each state! Like I said, we have work to do, and we don’t need any click chasing “influencers” making it harder!",Thu Apr 11 00:50:45 +0000 2024,69,346,United States
Jason Smith,Congratulations to Brewster Academy graduate Daniel Jacobsen '24 on being selected for the U18 United States National Team 🇺🇸! The 12-member team will compete at the 2024 FIBA U18 Men’s AmeriCup from June 3-9 in Buenos Aires. Photo courtesy USA Basketball @usabasketball @usabjnt https://t.co/ZlRzMf24CK,Tue May 28 15:01:00 +0000 2024,16,54,United States
Polling USA,"Presidential Polling:

Biden (D): 44%
Trump (R): 43%

RMG / Apr 4, 2024 / n=1679 https://t.co/Q1VyqhvJ5O",Wed Apr 10 23:49:25 +0000 2024,13,237,United States
DatoWorld,"🇺🇲 EEUU - Presidenciales 2024

🔴 Trump 42% (+9)
🔵 Biden 33%
🟡 Kennedy 16%

Encuesta CNN - 967 RV - 4/23 https://t.co/KpR6npduus",Sun Apr 28 15:05:17 +0000 2024,105,498,United States
Effie United States,2024 GRAND EFFIE CONTENDER: @Tinder and @mischief_usa for “Brand” #effieUS https://t.co/gOszFoD2vi,Fri May 24 01:40:04 +0000 2024,0,0,United States
Asbury Park Press,Lucy the Elephant voted top roadside attraction in United States in USA TODAY poll https://t.co/KuVwLlwF5o,Wed May 15 16:27:03 +0000 2024,2,5,United States
DatoWorld,"🇺🇲 EEUU VOTA - Presidenciales 2024

🔴Trump 44%
🔵Biden 40%
🟠Kennedy 8%

Encuesta Emerson Polling https://t.co/o74Q2v9sg2",Fri Apr 19 11:55:16 +0000 2024,54,251,United States
CricketTimes.com,"Nepalese cricketer Sandeep Lamichhane was denied a visa to the United States, affecting his participation in the T20 World Cup 2024.

#cricket #T20WorldCup #SandeepLamichhane #NepalCricket #usa #CricketTwitter https://t.co/QAkonm0Elr",Thu May 23 08:10:03 +0000 2024,0,2,United States
One America News,VIDEO: Trump Leads Biden In Most Battleground States https://t.co/nmB1VfufP3 #OAN,Wed Apr 24 19:34:18 +0000 2024,45,280,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.6%

- April 7, 2024 - https://t.co/CrmT7F5vVi",Sun Apr 07 21:04:48 +0000 2024,73,1742,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +1%  

- April 10, 2024 - https://t.co/6qALxwm1Qz",Wed Apr 10 18:35:29 +0000 2024,87,2591,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +1%  

- April 11, 2024 - https://t.co/AlXh9HZ4Rw",Thu Apr 11 17:23:13 +0000 2024,79,1962,United States
B/R Football,"USA lift the 2023-24 Nations League 🇺🇸🏆

(via @CBSSportsGolazo)
https://t.co/OISRKMQGjo",Mon Mar 25 03:45:11 +0000 2024,685,11774,United States
Follow @JodyField,"ALSO https://t.co/6pW6VWaJqn Beijing announced countermeasures on Wednesday against 12 military-related companies in the United States and their senior executives, including units of Lockheed Martin, in response to… https://t.co/1JEPLcRrb9 ~ Story Below #America #USA #news",Sat May 25 12:46:05 +0000 2024,2,0,United States
Art Candee 🍿🥤,"The next President of the United States will be Joe Biden.

Citizen Trump will be in prison.",Sat Mar 30 14:14:43 +0000 2024,66,387,United States
Blake Byler,"Alabama freshman Derrion Reid has been selected as a member of the 2024 USA Basketball U18 National Team, per release.

Reid is one of 12 players selected to represent the United States in the 2024 FIBA U18 Men’s AmeriCup from June 3-9 in Buenos Aires, Argentina",Tue May 28 20:46:47 +0000 2024,9,163,United States
Big Ship,Why United States of America (USA) Hosting T20 Cricket World Cup in June 2024 ? India First Four Matches Schedule Announced !! https://t.co/o1agBsz0iy,Sun May 19 12:41:51 +0000 2024,0,0,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +1%

- April 8, 2024 - https://t.co/Lc7LaOaOWJ",Mon Apr 08 17:00:01 +0000 2024,198,4106,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.4%

- April 4, 2024 - https://t.co/iq64adJ4rL",Thu Apr 04 16:54:52 +0000 2024,100,1961,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.6% 

- April 6, 2024 - https://t.co/MInDUhSf6h",Sat Apr 06 17:33:10 +0000 2024,90,2146,United States
JATODynamics_NA,"During April 2024, 1.3 million new vehicles were sold in the United States and was the 8th best selling April in the last 15 years. #JATONA #JATOV5 #USA #Sales #JATO https://t.co/fPR4A1MGwM",Wed May 15 15:07:01 +0000 2024,0,0,United States
Polling USA,"Presidential Polling:

Biden (D): 44%
Trump (R): 42%

Morning Consult / March 31, 2024 / n=6018 https://t.co/PwVM723GZ9",Tue Apr 02 03:11:50 +0000 2024,37,899,United States
Polling USA,"Presidential Polling:

Biden (D): 49%
Trump (R): 46%

Echelon / April 14, 2024 / n=1020 https://t.co/7QXC7p9L3Y",Tue Apr 16 22:43:24 +0000 2024,170,2073,United States
Polling USA,"Presidential Polling:

Biden (D): 52%
Trump (R): 48%

Marquette / March 28, 2024 / n=1000 https://t.co/Xdyoh4tOOx",Thu Apr 04 05:22:01 +0000 2024,217,2931,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +1%  

- April 9, 2024 - https://t.co/KjQvJ7WCcO",Tue Apr 09 18:33:55 +0000 2024,124,2802,United States
Polling USA,"Presidential Polling:

Biden (D): 51%
Trump (R): 49%

Emerson / April 3, 2024 / n=1438 https://t.co/VN5SDrpSpE",Thu Apr 04 15:38:15 +0000 2024,95,1159,United States
Polling USA,"Presidential Polling:

Biden (D): 45%
Trump (R): 43%

Morning Consult / Apr 7, 2024 / n=6004 https://t.co/Lluyq1rY8g",Sun Apr 14 23:28:14 +0000 2024,143,2122,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.8%  

- April 12, 2024 - https://t.co/rnvQ8JXVs1",Fri Apr 12 18:59:54 +0000 2024,50,1663,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.8% 

- April 23, 2024 - https://t.co/Jyjzi78D1u",Tue Apr 23 20:42:03 +0000 2024,62,2121,United States
Polling USA,America remains undefeated for being a land full of resources https://t.co/96942hWkpz,Mon May 20 01:06:56 +0000 2024,13,200,United States
Effie United States,"The 2024 Grand Effie winner is… “Tubi Takes Viewers Down A Super Bowl Rabbit Hole” from @Tubi  &amp; @mischief_usa, with contributing company @VaynerMedia  📺🐰🕳 Congratulations!! 👏👏👏 https://t.co/uRBw5QnHvW",Fri May 24 01:45:40 +0000 2024,1,5,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.8%  

- April 14, 2024 - https://t.co/XfHnrGgJYq",Sun Apr 14 17:58:21 +0000 2024,61,1409,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.6% 

- April 18, 2024 - https://t.co/KRTyZ56YIJ",Thu Apr 18 17:17:37 +0000 2024,42,1465,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.4% 

- April 21, 2024 - https://t.co/hVcXZ9HKYH",Sun Apr 21 21:17:24 +0000 2024,26,995,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.4% 

- April 25, 2024 - https://t.co/vw4mLCoUzE",Thu Apr 25 16:48:00 +0000 2024,14,759,United States
Polling USA,"81 states?

Did America annex Mexico and Canada when we weren't looking? https://t.co/duyEwitZ71",Wed Apr 24 20:25:23 +0000 2024,15,356,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.2% 

- April 28, 2024 - https://t.co/2GkJbwE8HZ",Sun Apr 28 16:45:01 +0000 2024,18,897,United States
Isa F aka Mr.Rebellious!!,Jesse Ventura praises Kennedy in new book https://t.co/P9nvYRFa6r via @YouTube It's what Corporations USA Governments do as they trying to ignore our next 2024 President Of United States @RobertKennedyJr Not on my watch.Yall let RFK Jr. debate you suckers.Ya scared of True RFK Jr,Thu May 16 20:53:27 +0000 2024,1,1,United States
megafenix64,"China vs Japan: Why Japan is Preparing for War? | Compilation. 8 may 2024
https://t.co/XVaDtx0W1C
https://t.co/uj32w2gq3P
#United #States #USA #Taiwan #BRICS #Xi #Jinping #North #Korea #Kim #Jong #nuclear #warheads #weapons #military #budget https://t.co/4XkglkiUkF",Sun May 26 18:02:51 +0000 2024,0,0,United States
Polling USA,"Presidential Polling:

Biden (D): 44%
Trump (R): 43%

Morning Consult / Apr 21, 2024 / n=9791 https://t.co/cSmhDLQVJ9",Mon Apr 22 20:53:04 +0000 2024,26,446,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.4%  

- April 5, 2024 - https://t.co/dYSSMoQT1r",Fri Apr 05 19:53:50 +0000 2024,51,1306,United States
Polling USA,"Presidential Polling:

Biden (D): 50%
Trump (R): 48%

Marist / May 23, 2024 / n=1122 https://t.co/50BQJfQfXs",Thu May 30 16:53:44 +0000 2024,44,610,United States
Polling USA,"Presidential polling among those who say they are definitely voting in November:

Biden (D): 53%
Trump (R): 47%

Marist / Apr 18, 2024 / n=1047 https://t.co/HgMccLHN2K",Mon Apr 22 23:08:27 +0000 2024,152,2039,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +1.2% 

- April 15, 2024 - https://t.co/GuHUMc3AQ2",Mon Apr 15 17:41:29 +0000 2024,312,4690,United States
Polling USA,"Presidential Polling:

Biden (D): 47%
Trump (R): 46%

Data For Progress / Mar 29, 2024 / n=1200 https://t.co/EBynzeo20t",Wed Apr 03 15:15:38 +0000 2024,39,376,United States
Polling USA,"Presidential Polling:

Biden (D): 40%
Trump (R): 39%

Ipsos / Apr 30, 2024 / n=856 https://t.co/cJdKtkGEf5",Wed May 01 03:19:55 +0000 2024,46,467,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +1.4% 

- April 17, 2024 - https://t.co/y5dIzutb8S",Wed Apr 17 18:12:58 +0000 2024,218,4385,United States
Polling USA,"Electoral College Map based on current polling average leads in each state:

Trump: 312
Biden: 226 https://t.co/vPs08QsGdh",Sat Mar 09 19:44:04 +0000 2024,24,279,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.4% 

- April 26, 2024 - https://t.co/KQ401kDlTG",Fri Apr 26 20:41:09 +0000 2024,12,299,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.6% 

- April 22, 2024 - https://t.co/eWCKBkAKEk",Mon Apr 22 17:14:38 +0000 2024,44,1343,United States
Polling USA,"Presidential Polling:

Biden (D): 50%
Trump (R): 50%

Emerson / May 23, 2024 / n=1100 https://t.co/LbIreRRh4t",Fri May 24 17:55:11 +0000 2024,18,305,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.6% 

- April 20, 2024 - https://t.co/f51yBi4IPR",Sat Apr 20 17:56:26 +0000 2024,42,1573,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.4% 

- April 27, 2024 - https://t.co/WAxUw0yBnN",Sat Apr 27 19:45:57 +0000 2024,12,758,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.4% 

- April 19, 2024 - https://t.co/y3s0bhNyKk",Fri Apr 19 17:56:00 +0000 2024,30,1340,United States
Polling USA,"The Biden campaign and their supporters are really starting to out raise the Trump campaign, while the Trump campaign remains stagnant https://t.co/JY5FAA6I3K",Sun Apr 07 02:47:27 +0000 2024,79,1053,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.6% 

- April 24, 2024 - https://t.co/WTNg9uIlS6",Wed Apr 24 19:14:28 +0000 2024,21,744,United States
Polling USA,"Presidential Polling:

Biden (D): 47%
Trump (R): 46%

Biden (D): 44%
Trump (R): 40%
Kennedy (I): 11%

Mainstreet Research / April 28, 2024 / n=851 https://t.co/lGnXyqIzjn",Tue Apr 30 15:36:45 +0000 2024,86,1141,United States
Polling USA,"Only 15% of Americans would keep Biden and Trump on the ballot

49% would replace both candidates https://t.co/o0R06lBrPz",Wed Apr 24 19:25:40 +0000 2024,38,566,United States
Raymond K. Azar الله,"United States has fallen. 

R.I.P USA 
1776-2024",Thu May 30 21:44:50 +0000 2024,8,14,United States
Classic 105 Kenya,"“Leaving for the USA today. Thank you His Excellency President William Samoei Ruto for choosing me to accompany you to the United States Of America State Visit hosted by the USA President His Excellency President Joe Biden,” Eddie Butuita said.
https://t.co/kYRYFw4uRt",Sun May 19 19:42:17 +0000 2024,1,22,United States
Polling USA,"Average National Presidential Polling Lead:

Biden +0.6% 

- May 14, 2024 - https://t.co/LAKgNfafgz",Tue May 14 15:32:14 +0000 2024,51,1294,United States
Polling USA,"Presidential Polling:

Biden (D): 45%
Trump (R): 43%

Public Opinion Strategies / Apr 11, 2024 / n=1000

(Republican Commissioner) https://t.co/T73UvFLeyb",Mon Apr 29 17:48:35 +0000 2024,58,992,United States
Effie United States,"2024 GRAND EFFIE CONTENDER: @FCASorg (FCAS), @vml_global (entered as Wunderman Thompson) and @Mindshare_USA for “The Blue Square: Standing Up to Jewish Hate” #effieUS https://t.co/wCItz96MLM",Fri May 24 01:38:22 +0000 2024,0,1,United States
Effie United States,"2024 GRAND EFFIE CONTENDER: Fox Corporation’s @Tubi and @mischief_usa for “Tubi Takes Viewers Down A Super Bowl Rabbit Hole,” with @vaynermedia #effieUS https://t.co/ntLFdR9u4j",Fri May 24 01:40:19 +0000 2024,0,0,United States
Martyn Lucas Investor,"Memorial Day 2024 
National Anthem of the United States of America. 

USA Anthem

LIVE Now on YouTube

https://t.co/5Yfw6Mqgz5

#USA #Memorialday #MemoralDay2024 https://t.co/cpAQtSJyoP",Sat May 25 22:40:27 +0000 2024,1,4,United States
Polling USA,"The runaway Democrats have with young people is wild

Even if you want to say 18-24 year olds will become as split as current 40-49 year olds, that's still a D +3 https://t.co/7KDuUICyLV",Wed Apr 10 16:19:47 +0000 2024,66,980,United States
Effie United States,"2024 GRAND EFFIE CONTENDER: @McDonalds and @wknyc for “The Cactus Plant Flea Market Box” with @Starcom_USA, Narrative Media Group, The Marketing Store, and Boxer #effieUS https://t.co/Old2rTufaK",Fri May 24 01:38:36 +0000 2024,0,0,United States
FATAI,"Get your undergraduate degree in The United States of America (USA) 🇺🇸 through the Dartmouth College King Scholarship 2024 | Fully Funded. No IELTS 

Benefits include: Full Scholarship, Travel Cost, Laptop, Mentorship
Deadline: November 1, 2024

Apply @ https://t.co/A7RQ2vL8mG",Thu May 30 06:40:40 +0000 2024,25,53,United States
50 Nuances 🇺🇸🏀,"Si aucun pépin physique ne s’en mêle, voici à quoi ressemblera Team USA 2024 pour les JO :

- LeBron James
- Stephen Curry
- Kevin Durant
- Kawhi Leonard
- Joel Embiid
- Jayson Tatum
- Devin Booker
- Anthony Davis
- Anthony Edwards
- Bam Adebayo
- Jrue Holiday
- Tyrese Haliburton https://t.co/JrjSXgCfIi",Tue Apr 16 22:35:04 +0000 2024,22,204,United States
Berlin gegen Krieg,"VIDEO: ""The State of Things: The United States at War - Gaza and Ukraine, An Update"" @ Public Library in Chico, USA by George V Wright, Prof. em. https://t.co/qWZ41m4tCa via @berlinSTOPwar",Mon May 20 19:21:35 +0000 2024,2,1,United States
News Arena India,"Biden versus Trump 2024 officially set to happen as both win party nominations

https://t.co/2xo32V9oAr",Wed Mar 13 07:52:13 +0000 2024,20,202,United States
壹家之見,"美国现状：
1，美国南部边境完全开放，对非法移民包容。
2，大城市正被犯罪分子和毒品占领。
3，美国自己限制石油开采，国内汽油价格却疯狂上涨。
4，三年来通货膨胀正在飙升，高利率丝毫不减。
5，但政客们，只用了短短三个小时，就对外撒出了950亿美元。",Sun Apr 21 05:39:35 +0000 2024,49,267,United States
🇨🇦Chantal Dugdale💙💛,"Great commentary: @MeidasTouch  STATE OF THE UNION 2024 President Biden was on fire tonight; 🔥🔥delivered a solid, inspiring speech!! Best speech of his career!! Strong, concise and a message of hope for America's future. https://t.co/nLLmk4e9E5 via @YouTube",Fri Mar 08 04:31:16 +0000 2024,75,336,United States
Sasakawa USA,"Japan's Nippon Steel, said on Saturday its vice chairman, Takahiro Mori, a key negotiator for its planned purchase of U.S. Steel, will travel to the United States next week to meet stakeholders as part of continued efforts to complete the deal.

https://t.co/tQcdREn3uu",Mon May 20 20:01:43 +0000 2024,0,0,United States
Tom Nichols,"Things that are baked in for 2024:

The race will be Biden and Trump (barring a health crisis)
The electoral college still exists
Trump will be aided by SCOTUS in his delay tactics

""We must end the EC and remove Thomas and replace Biden"" and other fantasies aren't gonna happen.",Mon Mar 04 17:00:14 +0000 2024,388,2441,United States
Ms. Magazine,"U.S. abortion bans impact 6.7 million Latinas in the United States—the largest group of women of color impacted by these bans.
https://t.co/9QQnQz3M6I",Thu May 30 15:35:00 +0000 2024,0,2,United States
CNEWS,Présidentielle américaine 2024 : Donald Trump remporte 12 États durant le Super Tuesday et se dirige vers l'investiture républicaine https://t.co/yEDMnBF464,Wed Mar 06 05:33:43 +0000 2024,74,275,United States
ESPNcricinfo,"USA BEAT BANGLADESH AGAIN TO CLINCH THE SERIES! 

https://t.co/4hbN5N9uRi | #USAvBAN https://t.co/Xsq9S06qto",Thu May 23 18:32:49 +0000 2024,194,2519,United States
All Things Cricket,"BAN vs USA, T20 World Cup Warm-up: Match Prediction, Dream11 Team, Fantasy Tips &amp; Pitch Report | Bangladesh vs United States of America 2024 https://t.co/PP7gIZAVyE",Tue May 28 07:40:50 +0000 2024,0,0,United States
IIHF Live Streaming Free,"IIHF Men's World Championship Tournament Game Recap: Team USA vs Team Kazakhstan | 05/19/2024
The United States and Kazakhstan have only crossed paths a mere four times, with Team USA claiming victory in all encounters, including two...",Thu May 23 19:37:28 +0000 2024,0,0,United States
United States Snooker Association,"Delta Rocks Billiard has played host to the inaugural Virginia Open, the second event of the 2024 USSA National Tour.
https://t.co/sJni1nFCpu",Sat May 18 21:29:49 +0000 2024,0,4,United States
ShanghaiEye🚀official,"Considering studying abroad and also dreaming of higher education in the United States? Well then, the 2024 Education USA College &amp; University Fair is a big opportunity to learn the latest information on studying in the United States.
https://t.co/kwHhuwBTqh via @ShanghaiEye",Thu May 23 13:44:30 +0000 2024,0,0,United States
USA TODAY 10Best,"From art museums to arts districts, here are the best places to enjoy art across the United States, according to our readers. https://t.co/7RiSs74O6U",Tue May 28 20:30:09 +0000 2024,0,0,United States
USA TODAY 10Best,Discover underwater paradises and learn more about marine life at the 10 best aquariums in the United States. https://t.co/UjEk12mCIn,Fri May 24 11:30:08 +0000 2024,1,1,United States
USA Fencing,"During the Olympic Games Paris 2024, an innovative initiative called Fencing Across America will bring the excitement of fencing directly to communities across the United States with 16 activations across 12 major cities. https://t.co/B1x9DPbwBD",Wed May 29 14:31:11 +0000 2024,0,1,United States
Brad Walter,The NRL Vegas 9s has helped inspire the establishment of the USA Young Hawks team to compete at the European U19s Championship in a landmark development for the growth of the game in the United States.https://t.co/6ohzo57MBK via @NRL,Tue May 21 12:26:51 +0000 2024,12,47,United States
FATAI,"2024 Miami University Presidential Scholarship

Country: United States of America (USA) 
Benefits: Full scholarship, accommodation &amp; $5,000 stipend
Category: Bachelor's
Eligible: All Countries
Deadline: December 1, 2024
Apply here_ https://t.co/2luron5APJ

This year abroad sure.",Mon May 06 05:58:01 +0000 2024,8,26,United States
USA TODAY Travel,Discover underwater paradises and learn more about marine life at the 10 best aquariums in the United States. https://t.co/T3Nznq5P0c,Fri May 24 21:00:02 +0000 2024,2,2,United States
USA TODAY Travel,The 10 best drive-in theaters across the United States illustrate why these nostalgic spots are seeing a revival. https://t.co/6BERjImvjd,Tue May 28 21:00:10 +0000 2024,1,1,United States
ESPNcricinfo,"Fizz with the best bowling figures for Bangladesh in T20Is 🔥 

USA only manage 104 in the third T20I! 

https://t.co/IeU65gVBoy | #USAvBAN https://t.co/un5yJrEQf0",Sat May 25 16:45:10 +0000 2024,53,587,United States
USA TODAY 10Best,The 10 best drive-in theaters across the United States illustrate why these nostalgic spots are seeing a revival. https://t.co/UtaZiQJdll,Wed May 29 12:00:05 +0000 2024,1,3,United States
umichvoter 🏳️‍🌈,"Biden vote shares so far 

American Samoa 44%
Minnesota 71%
Oklahoma 73%
Michigan 81%
Colorado 83%
Massachusetts 83%
Texas 85%
North Carolina 87%
Utah 87%
Vermont 89%
Nevada 89%
California 89% 
Virginia 89%
Arkansas 89%
Alabama 90%
Tennessee 92%
Maine 93%
South Carolina 96%",Wed Mar 06 21:31:15 +0000 2024,47,536,United States
The Cross,"From Jonah to Nineveh “💯 Years”

In Jonah the Gentles repented &amp; turned back to God
Over the next 💯 years the people of Nineveh returned to their Sin &amp; were Destroyed

? What did United States of America Look like 💯 years ago

Believers are about to change USA 🇺🇸

TRUMP 2024 https://t.co/liuORN3TTh",Tue May 21 13:14:44 +0000 2024,0,1,United States
Mario Canseco,"Three-in-ten Canadians (30%) say they would vote for Robert Kennedy Jr. in the 2024 presidential election if they lived in the United States.
https://t.co/W4IhEzH3p9",Thu May 30 21:05:00 +0000 2024,1,2,United States
Reuters Sports,USA Hockey named Pittsburgh Penguins head coach Mike Sullivan to lead Team USA for the 2025 Four Nations Face-Off and the 2026 United States Men's Olympic hockey team on Saturday morning. https://t.co/UqZrqmn8vg https://t.co/UqZrqmn8vg,Sat May 18 16:30:24 +0000 2024,0,0,United States
Adam Crafton,"NEW: 

David Berson, President and CEO of CBS Sports (who have a $1.5bn TV deal for UEFA club competitions in USA) says games taking place in the United States is an idea that network would welcome, adding that it is also “something UEFA would like.” 

https://t.co/CF29ZAYf1l",Tue May 28 16:50:18 +0000 2024,19,68,United States
Political Election Projections,"Key Republican Presidential Primaries to watch on Super Tuesday: 

Alaska
Colorado
Maine
Massachusetts 
Utah
Vermont
Virginia

Trump will easily clear 60% in every other state.

Democratic side (Biden 85% watch): 

Minnesota
Oklahoma
Texas (RGV)",Mon Mar 04 01:47:48 +0000 2024,18,249,United States
Jack Pilgrim,"NEW: Lexington’s own Jasper Johnson will be representing the United States at the 2024 FIBA U18 Men’s AmeriCup

https://t.co/gUUXSU8bcf",Tue May 28 17:35:41 +0000 2024,7,261,United States
World of Statistics,"GDP
🇺🇲 USA: $28.35 trillion 
🇯🇵 Japan: $4.48 trillion

National debt
🇺🇲 USA: $34.65 trillion 
🇯🇵 Japan: $13.36 trillion",Sun Apr 14 21:30:00 +0000 2024,121,1306,United States
ESPNcricinfo,"Bangladesh finally get things right in the final game of the series 😤 

https://t.co/IeU65gVBoy | #USAvBAN https://t.co/ijJMfb0Dbc",Sat May 25 17:52:47 +0000 2024,13,158,United States
England's Barmy Army 🏴󠁧󠁢󠁥󠁮󠁧󠁿🎺,"USA beat Bangladesh earlier this week in a major upset ahead of the T20 World Cup 👏🇺🇸

🔜 You can watch the United States in action against India in New York this summer! 

Can they shock the world and secure a famous victory?! 👀

Book a package 👉 https://t.co/MGPqD9tj7o https://t.co/tXSvgsZtQU",Thu May 23 21:27:35 +0000 2024,2,48,United States
Satya Chaudhary,"अमेरिका में नवंबर 2024 में होने वाले राष्ट्रपति चुनाव में जो बाइडेन और डोनाल्ड ट्रम्प एक बार फिर आमने-सामने होंगे। दोनों अपनी-अपनी पार्टी से राष्ट्रपति उम्मीदवार चुने गए हैं।
#Presidentielle2024",Wed Mar 13 04:46:32 +0000 2024,19,211,United States
ESPNcricinfo,"Mustafizur Rahman with the first 6-fer for Bangladesh in T20Is ⚡ 

🔗 https://t.co/IeU65gVBoy | #USAvBAN https://t.co/md8XQO7roY",Sat May 25 17:20:31 +0000 2024,7,166,United States
El País English Edition,"🗞️ Faith, family and hatred of progressive policies: The power of Latino evangelicals spreads across the United States 

Fueled by a community in search of belonging, it points to the growing conservatism among the traditionally Democrat voter base https://t.co/WHDP6xjJ0v",Mon May 27 14:34:32 +0000 2024,3,2,United States
FATAI,"2024 Boston College Gabelli Presidential Scholarship in USA

Country: United States of America 🇺🇸
Benefits: Full scholarship &amp; living stipend.
Category: Undergraduates
Eligible: All Countries
Deadline: November 1, 2024
Apply here: https://t.co/6195eakpBc

JAPA options everywhere",Mon May 06 11:42:15 +0000 2024,1,10,United States
El País English Edition,"EL PAÍS US, the voice of Latinos in the United States, is born

Conceived for a diverse and thriving community of more than 60 million people, EL PAÍS US aspires to be the informative voice and meeting place of the Latino universe https://t.co/jGmZPUdZDU",Thu May 23 08:53:37 +0000 2024,4,2,United States
Ian Raphael Bishop,Harmeet and Anderson the heroes as USA stun Bangladesh https://t.co/yKtbdoaRoK,Wed May 22 02:08:37 +0000 2024,11,468,United States
ESPNcricinfo,"- Wicket of a well-set Shakib in the 18th
- The winning wicket with 7 needed

Ali Khan came in clutch as USA beat Bangladesh to win a historic series 🔥 

https://t.co/4hbN5N9uRi | #USAvBAN https://t.co/EuPaTKwn3d",Thu May 23 18:52:45 +0000 2024,12,152,United States
america's lounge singer,"my prediction for 2024: biden wins, mostly due to ppl finding trump to be too strange and insane to be president again. shortly thereafter, something weird happens. I'm not sure what, maybe president kamala, maybe they announce he's co-president, something wacky. 96% sure on this",Thu May 30 02:35:50 +0000 2024,146,3717,United States
Estadão 🗞️,"ELEIÇÕES NOS EUA 2024 🇺🇸

Donald Trump supera Joe Biden em 5 Estados-pêndulo essenciais para a eleição dos EUA, diz pesquisa &gt; https://t.co/CkjbZs36Vz

Foto: Alex Brandon/AP https://t.co/53NN56k8mR",Tue May 14 12:50:00 +0000 2024,45,370,United States
Globtec,"The outcome of the 2024 presidential race is as we expected. Trump's strong showing in the Republican contest solidifies his position, while Biden's continued dominance raises questions for Democrats. Haley's silence hints at a narrowing path as her sponsors increasingly drop https://t.co/1zXF9AgWR5",Wed Mar 06 10:14:34 +0000 2024,2,18,United States
Mo,"@egi_nupe___ ""You can't love your country only when you win""

Joe Biden State of the Union Address 2024",Wed Apr 10 19:04:27 +0000 2024,44,247,United States
USA TODAY,Travel stress can begin at the airport. Here's a ranking of the most stressful airports in the U.S. https://t.co/8lQ0v27oqZ,Thu May 30 19:15:04 +0000 2024,6,6,United States
The Roar,"""The Wallaroos’ loss to the United States was disappointing and, it means the Wallaroos will unlikely qualify for World Rugby’s top tier tournament WXV 1 later in the year.""

But unexpected? History tells us no.

✏️@Hugh_96

https://t.co/NwX1MPUXXp",Mon May 20 23:04:30 +0000 2024,2,9,United States
USA TODAY,"Most Americans are in support of public transit, but 3% use it to commute. https://t.co/E1ghdu6YVm",Tue May 28 14:45:04 +0000 2024,3,13,United States
Alerta News 24,"🇺🇸 ESTADO DE LA UNIÓN 🇺🇸

🇺🇸 | EN VIVO: Discurso del Estado de la Unión 2024 del presidente estadounidense Biden.
 https://t.co/YaWRYj2rTt",Fri Mar 08 02:00:02 +0000 2024,28,207,United States
USA TODAY,"Authorities say U.S. District Judge Larry Hicks was fatally struck by a car while walking near a federal courthouse in Reno, Nevada. He was 80. https://t.co/0lYoaPnApk",Thu May 30 08:45:02 +0000 2024,3,11,United States
Vishal Misra,"USA! USA! USA! 🇺🇸 
U.S.A. vs Bangladesh, 2nd T20I
Bangladesh tour of United States of America

USA 144/6
BAN 138
U.S.A. won by 6 runs

Click here to view more @espncricinfo :https://t.co/KKEz9dKdt6",Thu May 23 19:02:02 +0000 2024,0,17,United States
Crikey,"The latest nuclear reactor to start in the United States has seen consumers whacked with big price increases. That's why it will probably be the last, writes @bernardkeane and Glenn Dyer. https://t.co/O6CCDaqtXm",Mon May 20 01:55:03 +0000 2024,51,84,United States
